"Country","dim2","CostItem","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"AT000000","GRAE","ELUB",,,,,,,1.740107,1.384549,4.337538,3.775567,3.734983,3.202821,3.954825,4.299763,4.086018,4.362672,3.839429,4.620322,4.629193,3.899509,0.002299,6.425583,0.153091,0.123886,0.149591,0.131296
"AT000000","GRAE","INPO",,,,,,,31.399079,36.100394,25.668105,31.357801,33.276762,42.025391,39.298644,40.026272,42.240606,42.65169,34.932465,34.683808,36.007977,31.470978,30.338598,35.069268,22.988927,26.588231,26.617351,31.435777
"AT000000","GRAE","NITF",44.160469,41.814063,41.856434,42.170649,42.378874,42.732026,44.435375,46.435764,44.190709,44.49305,44.038196,44.326407,44.906599,44.818417,45.019837,44.994595,44.599246,44.364907,43.497376,43.48646,42.982363,42.791726,43.308359,42.695288,42.592308,41.637038
"AT000000","GRAE","PHOF",20.562724,20.54333,20.19709,20.159242,20.184594,20.225532,20.221474,20.39298,20.254083,20.25919,20.275365,20.290152,20.293228,20.330249,20.329783,20.356369,20.309823,20.324546,20.294023,20.17376,20.319671,20.304919,20.368711,19.877003,19.839009,15.928882
"AT000000","GRAE","PLAP",,,,,,,5.836984,5.876327,5.304094,5.647769,5.308208,5.4877,2.582029,3.378973,3.301891,3.409563,2.719934,3.293396,2.745112,5.627231,5.533447,5.927186,5.992232,6.492029,7.868945,7.299412
"AT000000","GRAE","POTF",43.507011,43.502832,43.058496,42.871179,42.816542,42.769533,42.598617,42.624545,42.311231,42.183948,42.334182,42.296071,42.251116,42.293011,42.304704,42.250992,42.10742,42.129573,42.226721,42.052066,42.772769,42.613942,42.623736,42.299374,43.179873,37.167391
"AT000000","GRAE","REPB",,,,,,,4.139872,4.135667,2.558643,3.498118,2.592769,3.033764,2.736152,3.02308,3.044191,2.842202,3.284007,2.922597,3.199543,2.483124,2.155213,2.112876,1.744936,1.841241,1.811598,1.828503
"AT000000","GRAE","REPM",,,,,,,24.604855,23.088221,13.829826,19.281382,17.682626,16.185523,13.736574,14.428933,14.704032,15.484846,13.705574,12.674126,13.420929,12.420648,11.380281,12.347862,8.205561,8.241233,8.065563,8.224203
"AT000000","GRAE","SEED",,,,,,,12.652779,12.371654,10.897217,11.911739,10.735378,8.95209,8.651194,9.560856,8.949378,9.03135,6.807187,6.295092,7.901542,7.546368,7.276483,7.347068,7.142537,7.292857,7.964751,7.750084
"AT000000","GRAI","EFUL",,,,,,,71.712158,60.436467,114.443716,84.77726,74.476611,60.56764,72.496836,76.775894,75.559885,77.284663,67.82595,76.226165,75.598679,73.623502,87.551115,53.221328,71.658901,63.142822,66.457045,72.590195
"AT000000","GRAI","ELEC",,,,,,,5.586425,5.58602,4.406606,5.584523,5.584101,5.545188,4.07577,4.781264,5.168996,5.58834,5.588125,5.588056,5.250911,5.588566,5.065442,5.589795,2.513465,2.951336,2.814809,2.623154
"AT000000","GRAI","ELUB",,,,,,,2.214682,1.762153,5.520502,4.805267,4.753615,4.076317,5.033412,5.472425,5.200387,5.552491,4.886545,5.880409,5.8917,4.963011,0.002926,8.178013,0.194843,0.157673,0.190389,0.167104
"AT000000","GRAI","INPO",,,,,,,47.098619,54.150592,38.502158,47.036701,49.915143,63.038063,58.947954,60.039401,63.360901,63.97752,52.398688,52.025703,54.011956,47.206459,45.507894,52.603892,34.483382,39.882338,39.926026,47.153665
"AT000000","GRAI","NITF",116.455027,112.574443,112.585065,113.27824,114.121124,115.112249,118.222733,123.240562,119.179861,120.225244,119.409061,120.67389,122.467879,122.021768,122.104725,122.058418,121.589393,120.903182,118.377921,117.827418,116.437381,116.405505,118.167731,116.088307,115.497101,97.153089
"AT000000","GRAI","PHOF",50.142406,50.160399,49.214989,49.429165,49.477442,49.569548,49.257212,49.724741,49.202961,49.118821,49.236678,49.23822,49.21081,49.312931,49.3402,49.198333,48.863962,48.857863,48.864356,48.685967,49.459969,49.337751,49.410496,48.436512,48.500407,37.167391
